"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
113555.4;98810;75315.91;61610.64;54074;74670.17;218.7966;52.46422;1110.524;44.2676;2335.807;652.8987;1753.985;2474.376;5733.435;542.7016;285.3615;70.01454;57.13435;152.8
122407.4;102670;78134.71;58484.4;52986;72336.72;478.8899;5260.925;1302.03;-8.425811;3.807301;1351.983;110.2901;751.1584;3786.653;-62.8661;15.76158;43.28028;-71.42337;154.5
97997.94;81571;78733.78;73716.23;68339;70692.69;1477.513;-98.7001;1275.746;-13.71974;890.1718;286.7419;2474.427;-31.53294;7982.871;60.65228;165.4831;74.62882;49.74432;155
98536.14;82779;78010.91;82156.62;71743;75048.66;1573.631;2.920383;544.9442;113.7932;56.72929;1276.031;113.2071;257.0173;2176.628;29.29342;107.1608;7183.668;18.90472;155.2
134800.5;115530;76467.44;46301.58;43594;69606.38;177.9525;-23.9407;1684.946;125.6358;2953.206;564.941;2740.591;1138.269;5999.396;-52.69456;243.13;-64.58774;58.13574;156.6
91941.12;75627;79673.31;85944.3;78859;71424.25;997.7836;7770.375;241.0975;55.68013;-59.15585;2189.316;60.28936;5759.684;6171.524;266.1454;124.7384;53.62595;37.56219;158.3
133159;116873;74668.27;45914.7;42989;69996.18;96.74877;-28.77712;1266.351;11.93632;2369.073;898.4536;1699.172;4016.512;5582.269;-6.540621;312.4922;-35.09334;65.28216;158.8
169549.6;142374;78045.15;62278.32;56534;72195;2300.178;-44.81427;1529.714;23.58612;753.7841;969.7106;3210.616;110.1588;9912.086;471.0344;137.6348;192.7778;-19.75275;160.5
155733;129706;78686.55;60738.6;53742;74068.04;699.4238;-19.94556;1303.23;110.5936;101.7607;1645.369;2391.523;101.4745;6801.165;68.4594;309.146;4226.063;82.65063;161
114478.6;99304;75550.52;61042.02;56332;71015.58;1093.942;4663.978;1522.371;16.08535;69.67912;1454.397;18.16473;71.27928;2764.866;-85.89961;56.39862;2385.713;-20.27161;162.8
103098.4;90806;74407.63;52911.3;49090;70637.5;268.715;-47.34552;968.994;69.11039;2857.444;1546.488;2466.92;1260.946;5485.577;45.30884;383.2491;120.9927;73.58484;164.6
120624.4;104983;75300.22;47461.44;43863;70912.45;766.2864;4042.941;-6.730681;23.78778;-81.68001;327.1899;42.07092;11935.87;2930.9;53.38405;82.19691;5586.923;64.56366;164.7
129070;105851;79911.7;81927.3;73451;73098.9;391.1405;4328.154;1048.502;39.20423;155.8789;154.0934;145.5765;345.0485;2779.205;-34.13369;18.79612;3689.721;5.330505;164.9
173049.2;147331;76976.03;73156.98;66647;71937.46;3191.217;22.62649;600.305;55.76765;512.8837;477.6018;2375.05;-0.9595873;6343.474;94.06861;170.2074;-51.75662;-41.29178;165.3
154034.2;134863;74852.16;48551.88;45647;69706.58;557.9236;151.6207;759.5524;2.678276;-4.018752;444.8234;5.324959;468.9965;2027.595;107.1124;-47.42553;126.498;-5.618683;166.9
165044.5;146971;73595.2;58380.66;54127;70686.25;1904.274;-75.01813;1392.374;36.7831;-130.6186;583.4896;54.11181;734.8206;4517.161;-26.87284;14.20097;9390.739;-3.781738;167.7
95031.63;83685;74421.87;42806.4;40305;69603.27;180.3861;-46.13076;558.0185;32.9362;1088.604;1323.884;1252.853;1014.268;5038.002;-91.3177;207.695;-0.4189688;5.588364;168.6
171823.8;150682;74731.19;68431.73;64366;69675.63;307.7096;5992.275;764.4288;-1.829331;-92.12364;394.2251;304.0302;10402.56;6119.704;-47.17461;50.48478;75.75603;133.3407;172.1
171879.7;147302;76470.84;80298.66;70854;74271.78;545.2587;10302.64;104.0171;12.36734;115.9356;2338.763;98.19359;8439.792;4122.504;-54.70447;258.0365;128.6142;122.3666;176.6
73233.15;62494;76797.9;68598.66;63037;71318.14;1493.712;-35.40244;1864.526;164.1562;65.64777;1723.641;1626.596;2.396297;2157.042;-21.02013;326.6085;279.6212;12.57513;177.9
115541.2;100188;75578.98;62315.76;58332;70011.75;797.7877;-19.10586;1812.47;74.79366;2290.646;1470.177;1771.834;373.7881;3900.828;-35.07355;206.7489;96.47843;46.91589;178.5
144397.7;127816;74038.04;37905.66;36796;67512.37;2811.75;25.10293;1138.109;-1.854864;95.75906;981.4263;1847.816;19.4534;5867.417;-39.30285;177.1333;18.30226;5.503159;178.8
167616.2;143054;76788.45;59298.72;55082;70553;1232.827;-57.95771;833.98;34.64093;870.7078;962.996;1962.928;123.5679;3933.003;78.81562;120.0415;-42.69495;-1.258301;178.9
178518.9;156167;74916.05;74941.62;70071;70091.39;1349.225;6809.809;1020.692;-24.28613;27.54409;486.0288;-2.484582;-49.26017;4338.013;98.96167;-34.5542;214.1707;45.32574;179.2
127412;103408;80748.78;67106.52;53392;82369.88;1287.147;-62.34085;287.5529;129.9324;622.9024;671.3079;2215.069;108.9355;1855.05;581.6718;252.6402;-44.39942;39.1427;180.4
126936.5;105695;78706.79;57069.48;53119;70409.93;788.6972;969.6141;1616.816;77.49446;-52.83421;232.859;57.54977;335.7798;4987.242;45.98975;65.65642;1758.877;29.16711;182.9
91233.18;73871;80939.17;68826.41;62171;72551.64;1439.606;10449.11;524.3322;-233.2258;126.1894;1964.094;91.6268;19.35077;4136.894;216.9047;34.95094;7122.689;-37.07556;187.6
106022;88987;78081.69;66512.16;61211;71211.72;1547.242;-19.52502;517.9202;89.37838;76.51196;401.6361;1726.547;16.92907;2205.919;81.4359;225.0309;-37.26067;-65.40422;187.8
104519.1;90890;75363.25;62850.06;58958;69862.3;1264.519;-13.55614;523.7716;97.32368;589.8729;501.6997;-28.47487;73.33193;5424.477;-20.34908;52.5234;88.79173;-45.71993;194.3
85027.32;67650;82370.3;60517.86;54454;72833.92;849.8143;35.07298;631.3566;25.45137;112.6773;314.996;175.9863;18943.04;2262.518;-25.45706;304.0635;-125.3822;-17.69257;194.8
122543.3;98310;81690.56;71683.55;65830;71363.42;1055.648;-68.9183;1100.331;61.50616;559.463;1269.187;1603.906;93.15839;6767.855;-47.96675;130.7462;-58.30816;2.035751;194.9
123438.2;100363;80603.9;76930.62;69755;72277.62;714.1732;5285.909;140.4528;26.35801;9.032364;187.2484;277.0168;115.0461;2269.952;-59.59564;-6.957609;65.75313;0.8799438;195
137440.4;117622;76578.32;42717.48;37814;74034.3;148.9629;-42.11482;1329.565;-31.09528;2788.887;688.7032;2256.34;4383.357;3005.617;743.226;252.8077;-71.89733;58.26766;195
