"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
163456.2;135555;79025.23;62677.68;54032;76022.44;4989.984;-26.25894;958.9228;-98.90364;764.7146;926.2499;2431.944;480.6828;10839.47;191.6081;259.5688;414.6787;-36.77322;106.5
152797;132009;75856.23;43371.9;40749;69754.37;428.4588;5792.14;1845.72;160.4374;2754.924;138.9293;170.1855;12469.1;4511.99;-56.44929;147.1999;-129.1702;-13.98743;107.4
84166.2;67923;81208.38;85715.76;76371;73554.98;1373.964;34.55533;83.7915;100.0433;188.0052;918.8585;101.3493;1780.052;3824.861;111.6794;106.5908;131.2398;3.04715;107.6
82976.64;71522;76031.95;64195.56;58738;71625.18;1185.876;36.03979;863.0741;-20.76416;76.26244;501.0327;1398.061;33.20095;3765.749;-34.65777;147.869;63.44409;123.2805;107.7
114927.1;93300;80727.35;64903.02;59504;71482.34;1374.91;4983.794;1318.995;92.18245;-11.73842;598.6741;-216.3841;17537.86;2445.688;-15.16023;218.3195;-24.19606;16.91284;107.7
84260.73;67332;82013.17;72156.23;63872;74036.06;1700.665;5682.765;1342.771;24.64077;111.8928;501.7335;161.7854;71.46399;2634.166;134.6223;49.84136;125.1445;112.2396;108.6
160972.2;135797;77685.61;83849.22;76790;71560.64;1533.595;-104.3728;1727.271;79.9839;453.2585;913.8497;2490.987;139.4865;8537.543;52.85371;157.7558;88.59165;2.776855;108.7
125505.5;104714;78548.49;58275.36;53034;72012.94;1298.89;9.959763;1502.268;29.72698;1127.976;1409.036;1898.798;254.7722;4734.792;915.8806;260.2722;-94.08676;59.50778;109.1
181919.2;148758;80145.31;85645.55;74962;74876.16;2372.423;24.89478;3487.356;102.3062;1795.016;1211.217;3476.925;166.2334;7507.329;84.38383;545.5417;-291.7085;23.86307;110.3
141877.8;127426;72968.65;48987.12;44514;72121.57;608.3322;1377.273;953.4896;14.63028;59.21777;2927.816;42.94128;114.8513;2879.068;-22.28679;50.99605;-26.46658;-10.17717;110.3
